name,denomination,address
Iglesia Casa De Restauracion,,"26302 TUSCAN PARK, SAN ANTONIO, TX 78261-2780"
Catholic Daughters Of The Americas,Catholic,"18018 CERCA AZUL DR, SAN ANTONIO, TX 78259-3510"
Espada Ministry,Christian / General,"7811 MIDWAY DEPOT, SAN ANTONIO, TX 78255-2148"
Esther Cancer Care Ministry,Christian / General,"8606 KALLISON ARBOR, SAN ANTONIO, TX 78254-4556"
Freedom Faith Fellowship,Christian / General,"12350 EDWARDS RD, SAN ANTONIO, TX 78252-2503"
South Texas New Life Ministries,Christian / General,"1902 TIPTOP ST, SAN ANTONIO, TX 78253-5172"
633 Ministries,Christian / General,"10823 VANDALE STE 101, SAN ANTONIO, TX 78216-3626"
Jjcc Ministries,Christian / General,"102 WESTLAKE DR, SAN ANTONIO, TX 78227-3546"
Westside Fellowship Church Inc,Christian / General,"321 N GENERAL MCMULLEN BUILDING 7, SAN ANTONIO, TX 78237-1525"
1 Touch Divine Intervention Ministries,Christian / General,"3400 NORTHEAST PKWY, SAN ANTONIO, TX 78218-3300"
Two Rivers Christian Church,Christian / General,"17915 REDRIVER SONG, SAN ANTONIO, TX 78259-3583"
Iglesia Bautista El Shaddai San Ant Onio Inc,,"403 W EMERSON AVE, SAN ANTONIO, TX 78226-1211"
Bear Through It Ministries Inc,Christian / General,"8415 BURWELL, SAN ANTONIO, TX 78254-2539"
Baptisms On The Beach Tacos And Tes Timonies Ministry,Christian / General,"21750 HARDY OAK BLVD STE 104 385048, SAN ANTONIO, TX 78258-4946"
Omni Spirit Ministries,Christian / General,"14202 PURPLE MARTIN, SAN ANTONIO, TX 78233-5359"
J-Jireh Ministries Inc,Christian / General,"6231 PEACE PIPE DR, SAN ANTONIO, TX 78238-3918"
Church And Politics Llc,,"7500 CALLAGHAN RD APT 239, SAN ANTONIO, TX 78229-2816"
Her Holy Walk Ministries,Christian / General,"2643 WALEETKA ST, SAN ANTONIO, TX 78210-5430"
Live Ministries-Living In Victoriou S Expectation In Christ,Christian / General,"16019 GAYE L LITTON, SAN ANTONIO, TX 78232-0000"
Bloom Womens Ministry,Christian / General,"3002 COMANCHE XING, SAN ANTONIO, TX 78224-2413"
La Gran Comision Church,,"6275 DEER VALLEY DR, SAN ANTONIO, TX 78242-1519"
Disciple Hands Ministry,Christian / General,"2055 CASSIOPEIA BND, SAN ANTONIO, TX 78245-4007"
Herstory Global Ministries,Christian / General,"550 PENNYSTONE AVE, SAN ANTONIO, TX 78223-1918"
Waypoint Church Satx,,"605 KENDALL ST, SAN ANTONIO, TX 78212-4071"
Redeemed Ministries Satx,Christian / General,"11444 VANCE JACKSON RD APT 1306, SAN ANTONIO, TX 78230-1853"
Ekklesia Kingdom House Outreach Chu Rch - Ekho Church,,"25603 SPIREA, SAN ANTONIO, TX 78261-2666"
Graced Up Ministries,Christian / General,"11235 BRANDING DEPOT, SAN ANTONIO, TX 78254-5752"
Center Of Hope Ministries,Christian / General,"3239 WEST GERALD, SAN ANTONIO, TX 78211-0000"
Legacy Of Faith Mobile Ministry,Christian / General,"11806 CARAWAY HL, SAN ANTONIO, TX 78245-4477"
Blessed Bees Global Ministry,Christian / General,"21750 HARDY OAK BLVD STE 104, SAN ANTONIO, TX 78258-4946"
Catholic Knights & Daughters,Catholic,"12415 CHENA LK, SAN ANTONIO, TX 78249-4572"
Barbara Mcclain Ministries,Christian / General,"8434 GREENHAM, SAN ANTONIO, TX 78239-2920"
Cooperative Baptist Fellowship Of Texas,Baptist,"PO BOX 15648, SAN ANTONIO, TX 78212-8848"
Fellowship Of San Antonio Inc,Christian / General,"23755 CANYON GOLF RD, SAN ANTONIO, TX 78258-4926"
Africa Renewal Ministries Inc,Christian / General,"16414 SAN PEDRO AVE STE 955, SAN ANTONIO, TX 78232-2207"
House Of Prayer Christian Ministries Inc,Christian / General,"317 GORMAN, SAN ANTONIO, TX 78202-2342"
Jesus Church,,"5726 MOBUD ST, SAN ANTONIO, TX 78238-1819"
Marianist Vocation Ministry,Christian / General,"520 FORDHAM AVE, SAN ANTONIO, TX 78228-4800"
Redeemer Presbyterian Church,Presbyterian,"903 N SAINT MARYS ST, SAN ANTONIO, TX 78215-2108"
First Korean Presbyterian Church Of San Antonio,Presbyterian,"4115 EISENHAUER RD, SAN ANTONIO, TX 78218-3412"
Living Water Faith Church,,"PO BOX 691761, SAN ANTONIO, TX 78269-1761"
Greg Lewis Ministries Inc,Christian / General,"8214 WAYSIDE CRK, SAN ANTONIO, TX 78255-3517"
El Arca Del Pacto Iglesia Del Nazareno,,"102 SAXON DR, SAN ANTONIO, TX 78213-4045"
Revive Ministries Of San Antonio Inc,Christian / General,"14419 MOUNTAINSIDE RDG, SAN ANTONIO, TX 78233-3815"
Family Community Fellowship San Antonio,Christian / General,"11923 CEDAR GREY, SAN ANTONIO, TX 78249-2453"
Infinite One Ministries,Christian / General,"1719 DEER RUN ST, SAN ANTONIO, TX 78232-4414"
Light Of The World Christian Fellowship,Christian / General,"4910 DAHLIA TER, SAN ANTONIO, TX 78218-2746"
Life Change Church Of San Antonio Tx A Domestic Nonprofit Corp,,"708 W SUMMIT AVE, SAN ANTONIO, TX 78212-2746"
Pueblo De Dios Iglesia Cristiana Inc,,"1527 SOMERSET RD, SAN ANTONIO, TX 78211-3041"
Hope For The Hurting Ministries Inc,Christian / General,"24510 OPEN RANGE RD, SAN ANTONIO, TX 78264-4513"
Spirit Of Life Worship Center San Antonio,,"9731 ALEXA PL, SAN ANTONIO, TX 78251-3736"
Journey Church Of Katy,,"6758 MONTGOMERY DR, SAN ANTONIO, TX 78239-3245"
Skybridge Community Church,,"PO BOX 18087, SAN ANTONIO, TX 78218-0087"
Whitestone Outpost Ministry Inc,Christian / General,"5211 GAVILAN DR, SAN ANTONIO, TX 78242-2433"
Hope Arise United Methodist Church,Methodist,"26108 OVERLOOK PKWY, SAN ANTONIO, TX 78260-6046"
St Marys Indian Orthodox Church Of San Antonio,Orthodox,"4990 VIEW DR, SAN ANTONIO, TX 78228-1732"
Fuente Viva Church,,"5378 SAN SIMEON DR, SAN ANTONIO, TX 78228-4437"
Refocus Today Ministry,Christian / General,"19141 STONE OAK PKWY STE 104, SAN ANTONIO, TX 78258-3367"
Bethel Covenant Assembly Of God,,"10802 W LOOP 1604 N, SAN ANTONIO, TX 78254-2749"
Solid Rock Christian Church Of Runge Texas,Christian / General,"11550 W INTERSTATE 10 STE 150, SAN ANTONIO, TX 78230-1035"
Universal Church Of Light,,"1627 N PAN AM EXPRESSWAY, SAN ANTONIO, TX 78208-1139"
Spirit Of Grace Christian Fellowship Inc,Christian / General,"3602 INVICTA DR, SAN ANTONIO, TX 78218-3309"
Aurizion International Ministries,Christian / General,"PO BOX 769833, SAN ANTONIO, TX 78245-9365"
St Jose Sanchez Del Rio Catholic School,Catholic,"21140 GATHERING OAK, SAN ANTONIO, TX 78260-3196"
Christian Family Church International--San Antonio,Christian / General,"3607 N LOOP 1604 E, SAN ANTONIO, TX 78247-2300"
Four Winds Christian Ministries Inc,Christian / General,"PO BOX 769380, SAN ANTONIO, TX 78245-9342"
Gathering Church,,"875 E ASHBY PL STE 1200, SAN ANTONIO, TX 78212-4119"
Spread Ministries,Christian / General,"1303 W MAYFIELD BLVD, SAN ANTONIO, TX 78211-3349"
Court 2661 Catholic Daughters Of The Americas,Catholic,"105 FLEETWOOD DR, SAN ANTONIO, TX 78232-2203"
In His Word Church Inc,,"11510 LONG TRIAL, SAN ANTONIO, TX 78245-0000"
Iglesia Del Dios Vivo Of San Antonio,,"8121 CULEBRA RS STE 2, SAN ANTONIO, TX 78251-0000"
Well Community Church-San Antonio,,"PO BOX 5382, SAN ANTONIO, TX 78201-0382"
Texas Unitarian Universalist Justice Ministry Education Network,Christian / General,"24348 CHERRY SPG, SAN ANTONIO, TX 78255-3447"
Winston Churchill High School Jrotc Booster Club,,"15606 HEIMER RD, SAN ANTONIO, TX 78232-4545"
Gods Inspiration Church International Gods Inspired,,"8004 CROSSCREEK, SAN ANTONIO, TX 78218-1619"
Ministry House Of Restoration San Antonio Church,Christian / General,"5150 BROADWAY STREET STE 401, SAN ANTONIO, TX 78209-5710"
All Nations Winners Church,,"5403 JACKWOOD DR SUITE C, SAN ANTONIO, TX 78238-1809"
The Bridge Church Of God,Church of God,"1201 W SOUTHCROSS BLVD, SAN ANTONIO, TX 78211-2526"
Reah Ministry,Christian / General,"18705 BROOKWOOD FRST, SAN ANTONIO, TX 78258-4443"
Calvary Cross Church Of The Assemblies Of God,,"7760 PRUE RD, SAN ANTONIO, TX 78249-4103"
A New Beginnings Ministries Inc,Christian / General,"2127 HARRY ST, SAN ANTONIO, TX 78224-2118"
South Point Church Assembly Of God,,"323 W THEO AVE, SAN ANTONIO, TX 78214-1044"
Shekina Glory Church,,"16402 ALWICK LN, SAN ANTONIO, TX 78247-5647"
Catalyst Church Of God,Church of God,"9739 HUEBNER RD, SAN ANTONIO, TX 78240-3163"
Kenya Real Ministries Inc,Christian / General,"12750 PRONGHORN OAK, SAN ANTONIO, TX 78253-5868"
Sts Joachim And Anna Orthodox Church,Orthodox,"4930 RESEARCH DR, SAN ANTONIO, TX 78240-5006"
Godchasers Community Church,,"13032 NACOGDOCHES RD, SAN ANTONIO, TX 78217-1981"
Sa Basic Ministries Inc,Christian / General,"4702 ESTERBROOK, SAN ANTONIO, TX 78238-3014"
Ibrahim Ministries Usa,Christian / General,"10903 WILD GRAPE DR, SAN ANTONIO, TX 78230-3458"
Augustine Fellowship Slaa Fellowship-Wide Services,Christian / General,"2411 NE LOOP 410 STE 122, SAN ANTONIO, TX 78217-6600"
Iglesia La Mies,,"6515 TEZEL RD, SAN ANTONIO, TX 78250-4450"
Mustard Seed Korean Methodist Church,Methodist,"722 ROBINHOOD PL, SAN ANTONIO, TX 78209-3400"
Covenant Restoration Christian Fellowship,Christian / General,"PO BOX 760952, SAN ANTONIO, TX 78245-0952"
Matt And Rose Siller Impact Ministries Inc,Christian / General,"829 E SUNSHINE DR, SAN ANTONIO, TX 78228-2518"
Westover Hills Assembly Of God Holdings,,"9340 WESTOVER HILLS BLVD, SAN ANTONIO, TX 78251-2703"
Ed Newton Ministries Inc,Christian / General,"PO BOX 591425, SAN ANTONIO, TX 78259-0121"
Texas Unitarian Universalist Justice Ministry Advocacy Network,Christian / General,"24348 CHERRY SPG, SAN ANTONIO, TX 78255-3447"
Diocese Of Mid-America,,"11919 ORSINGER LN, SAN ANTONIO, TX 78230-1409"
Redemption Church Of San Antonio,,"7727 POTRANCO RD APT 2302, SAN ANTONIO, TX 78251-2002"
Movement Church Of San Antonio,,"19314 US HWY 281 N 107, SAN ANTONIO, TX 78259-0000"
Christ Church Pca Of San Antonio,,"14515 OCONNOR RD, SAN ANTONIO, TX 78247-1818"
Charles Cole Ministries International Inc,Christian / General,"6943 FOREST PARK ST, SAN ANTONIO, TX 78240-3325"
Door Christian Fellowship Ss,Christian / General,"502 E SOUTHCROSS BLVD, SAN ANTONIO, TX 78214-2044"
Stdm Shut The Door Ministries Inc,Christian / General,"25518 THOMAS OAKS, SAN ANTONIO, TX 78261-2707"
Tobit Ministry,Christian / General,"36 ENCINOSO, SAN ANTONIO, TX 78261-2300"
Crossway Bible Church,,"15759 SAN PEDRO AVE, SAN ANTONIO, TX 78232-3726"
Oilfield Christian Fellowship Of San Antonio,Christian / General,"24622 FAIRWAY SPGS, SAN ANTONIO, TX 78260-4802"
New Beginnings Christian Community Church,Christian / General,"599 SPENCER LN, SAN ANTONIO, TX 78201-2030"
Luminous Church,,"26723 SHADOW PASS, SAN ANTONIO, TX 78260-5551"
El Shaddai Christian Church,Christian / General,"247 ROLLINS AVE, SAN ANTONIO, TX 78228-5506"
Stone Oak Bible Church,,"19141 STONE OAK PKWY STE 104 PMB P, SAN ANTONIO, TX 78258-3367"
Prosperity In Christ Church,,"339 W HUTCHINS PL, SAN ANTONIO, TX 78221-2745"
Sri Shirdi Sai Baba Temple Of San Antonio,,"PO BOX 690282, SAN ANTONIO, TX 78269-0282"
Open Road Bible Fellowship,Christian / General,"12414 TALLOW CIR, SAN ANTONIO, TX 78253-5253"
Upper Room Christian Fellowship,Christian / General,"4306 STETSON VW, SAN ANTONIO, TX 78223-5508"
Church Of The Colored People Of Gillespie County Inc,,"411 MCCAULEY BLVD, SAN ANTONIO, TX 78221-1328"
San Antonio Texas West End Baptist Church,Baptist,"925 CULEBRA RD, SAN ANTONIO, TX 78201-6118"
Trinity Korean Church,,"14223 YELLOW WARBLER, SAN ANTONIO, TX 78233-5375"
Iglesia De Dios Amory Gracia,,"12525 NACOGDOCHES RD, SAN ANTONIO, TX 78217-2130"
Manna From Heaven Ministries Inc,Christian / General,"815 FLANDERS AVE, SAN ANTONIO, TX 78211-1753"
Dennis Davila Ministries Inc,Christian / General,"24930 CRESCENT TRCE, SAN ANTONIO, TX 78258-2755"
Compassion Church San Antonio,,"14242 SAVANNAH PASS, SAN ANTONIO, TX 78216-7849"
Iglesia Pentecostal Impacto De Amor,Pentecostal,"6925 CRESTWAY RD, SAN ANTONIO, TX 78239-2343"
Mount Nebo Full Gospel Baptist Worship Center Inc,Baptist,"1302 N SABINAS ST, SAN ANTONIO, TX 78207-1211"
New Vessels Ministries-Iglesia Odres Nuevos,Christian / General,"8550 ADAMS HILL DR, SAN ANTONIO, TX 78227-2335"
Greater Works Ministries Of San Antonio Inc,Christian / General,"9431 PALOMINO PATH, SAN ANTONIO, TX 78254-6210"
Christian United Church,Christian / General,"7530 BANDERA RD 160, SAN ANTONIO, TX 78238-1267"
Saving Faith Outreach Church,,"257 TUFTED CRST, SAN ANTONIO, TX 78253-6364"
Greater Joy Temple Church Of God In Christ,Church of God,"407 LAVERNE AVE, SAN ANTONIO, TX 78237-2244"
St Mary Queen Of Heaven Anglican Church,,"24019 SEVEN WINDS, SAN ANTONIO, TX 78258-7266"
Triumph Church Of San Antonio Inc,,"4622 DEL MAR TRL, SAN ANTONIO, TX 78251-3559"
Reconnect Fellowship,Christian / General,"2109 SAN PEDRO AVE, SAN ANTONIO, TX 78212-3227"
Word A Flame Outreach Ministries Inc,Christian / General,"10434 OVERLAND CRK, SAN ANTONIO, TX 78245-2331"
Presentation Ministry Center,Christian / General,"2003 RUIZ ST, SAN ANTONIO, TX 78207-2056"
Psm Prodigal Son Mens Ministry,Christian / General,"1009 LOMBRANO ST, SAN ANTONIO, TX 78207-1116"
Kids Of The Kingdom Episcopal School,Episcopal,"11093 BANDERA RD, SAN ANTONIO, TX 78250-6814"
Iglesia Cristiana Tierra Prometida Inc,,"PO BOX 769554, SAN ANTONIO, TX 78245-9351"
San Antonio Citywide Baptist Brotherhood Union,Baptist,"12918 CHIPPER XING, SAN ANTONIO, TX 78221-1171"
Christ Embassy Church San-Antonio,,"24385 WILDERNESS OAK APT 8404, SAN ANTONIO, TX 78258-7766"
San Antonio Church Of Hope,,"14 COVE CREEK DR, SAN ANTONIO, TX 78254-5582"
John 3 16 Ministries Fdn,Christian / General,"PO BOX 2950, SAN ANTONIO, TX 78299-2950"
Clift Of The Rock Christian Community Church Inc,Christian / General,"1502 MCKINLEY AVE, SAN ANTONIO, TX 78210-0000"
Open Door Gospel Church,,"11107 VOLLMER LN, SAN ANTONIO, TX 78254-1792"
Church Of God Inc San Antonio Texas,Church of God,"PO BOX 20334, SAN ANTONIO, TX 78220-0334"
Catholic Life Insurance - 121 Brazosport,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 85 Port Arthur,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Gospel Vision Music Ministries,Christian / General,"4835 LORD RD APT 2119, SAN ANTONIO, TX 78220-3545"
Atonement Lutheran Church American Lutheran Church,Lutheran,"735 CEDARHURST DR, SAN ANTONIO, TX 78227-4429"
Greater Evangelist Temple Church Of,,"2942 MARTIN LUTHER KING DR, SAN ANTONIO, TX 78220-3147"
Heart Of Praise Assembly Of God,,"5595 US HIGHWAY 87 E, SAN ANTONIO, TX 78222-1501"
Love Demonstrated Ministries International - Equity Dev Svcs,Christian / General,"3806 SUNSHINE RANCH RD, SAN ANTONIO, TX 78228-2042"
Holy Spirit Power Ministries,Christian / General,"PO BOX 701333, SAN ANTONIO, TX 78270-1333"
Sweet River Church,,"25631 WEIGELA, SAN ANTONIO, TX 78261-2821"
Word Of Faith Christian Center Church,Christian / General,"1928 BASSE RD, SAN ANTONIO, TX 78213-4608"
Redeemers Praise Church,,"107 S PINE ST, SAN ANTONIO, TX 78203-1128"
Agape Outreach International Worship Center,,"150 RIDGE DR, SAN ANTONIO, TX 78228-3754"
Land Of Calvary Church,,"2011 ENCINO ALTO ST, SAN ANTONIO, TX 78259-2409"
Saint Luke Baptist Church Of San Antonio,Baptist,"1903 W POPLAR ST, SAN ANTONIO, TX 78207-1134"
Templo Maranatha-San Anto,,"510 AARON ST, SAN ANTONIO, TX 78221-2111"
Christain Fellowship Ministries,Christian / General,"4827 LEGEND WELL DR, SAN ANTONIO, TX 78247-5611"
Iglesia Nueva Uncion,,"410 ROSA VERDE, SAN ANTONIO, TX 78207-5611"
Apostolic Assembly Of The Faith In Christ Jesus Inc,Apostolic,"PO BOX 240752, SAN ANTONIO, TX 78224-0752"
Abundance Ministries,Christian / General,"5024 PUNCH SHOT, SAN ANTONIO, TX 78261-2997"
Life Together Ministries Of Texas,Christian / General,"138 CABOT ST, SAN ANTONIO, TX 78213-4411"
San Antonio Temple Of Cao Dai Tay Ninh Inc,,"124 DINN DR, SAN ANTONIO, TX 78218-3711"
Buddhist Temple Of San Antonio Inc,,"6292 LOCKHILL RD, SAN ANTONIO, TX 78240-2015"
Friendship Church San Antonio,,"27930 ELM GRV, SAN ANTONIO, TX 78261-2001"
Catholic Cemeteries Of The Archdiocese Of San Antonio,Catholic,"746 CASTROVILLE RD, SAN ANTONIO, TX 78237-3133"
Pan American Ministries Inc,Christian / General,"PO BOX 380774, SAN ANTONIO, TX 78268-7774"
Cpr Ministries Inc,Christian / General,"419 RED QUILL NEST, SAN ANTONIO, TX 78253-5519"
International Bible Center Church,,"2369 BENRUS BLVD, SAN ANTONIO, TX 78228-2353"
Christian Resort Minitries Inc Aka Caring Resources Ministries In,Christian / General,"2186 JACKSON KELLER RD STE 2094, SAN ANTONIO, TX 78213-2723"
Saint Lukes Episcopal Church,Episcopal,"11 SAINT LUKES LN, SAN ANTONIO, TX 78209-4445"
Catholic Life Insurance,Catholic,"PO BOX 659527, SAN ANTONIO, TX 78265-9527"
St Josephs Roman Catholic Benevolent Assn,Catholic,"420 E CESAR E CHAVEZ BLVD, SAN ANTONIO, TX 78204-1310"
Archdiocese Of San Antonio,,"2718 W WOODLAWN AVE, SAN ANTONIO, TX 78228-5124"
Catholic Charities Archdiocese Of San Antonio Inc,Catholic,"202 W FRENCH PL, SAN ANTONIO, TX 78212-5818"
Council Of Churches Of Metropolitan San Antonio,,"285 OBLATE DR 326, SAN ANTONIO, TX 78216-6631"
St Cecilias Catholic Church,Catholic,"125 W WHITTIER ST, SAN ANTONIO, TX 78210-2852"
Alamo Heights Presbyterian Church,Presbyterian,"6201 BROADWAY, SAN ANTONIO, TX 78209-4562"
Grace Lutheran Church,Lutheran,"504 AVENUE E, SAN ANTONIO, TX 78215-1840"
St Agnes Church,,"804 RUIZ ST, SAN ANTONIO, TX 78207-1628"
Alamo Heights Methodist Church,Methodist,"825 E BASSE RD, SAN ANTONIO, TX 78209-1832"
Central Catholic High School,Catholic,"1403 N SAINT MARYS ST, SAN ANTONIO, TX 78215-1740"
Central Christian Church,Christian / General,"720 N MAIN AVE, SAN ANTONIO, TX 78205-1106"
Diocese Of West Texas,,"111 TORCIDO DR, SAN ANTONIO, TX 78209-5642"
St Lukes Episcopal Church,Episcopal,"11 SAINT LUKES LN, SAN ANTONIO, TX 78209-4445"
St Marks Episcopal Church,Episcopal,"315 E PECAN ST, SAN ANTONIO, TX 78205-1819"
St Mary Magdalens Church,,"1710 CLOWER, SAN ANTONIO, TX 78201-3540"
University United Methodist Church,Methodist,"5084 DE ZAVALA RD, SAN ANTONIO, TX 78249-2025"
St Patricks Roman Catholic Church,Catholic,"1114 WILLOW, SAN ANTONIO, TX 78208-1343"
St Lukes Episcopal School Of San,Episcopal,"15 SAINT LUKES LN, SAN ANTONIO, TX 78209-4445"
First Presbyterian Church Of San Antonio,Presbyterian,"404 N ALAMO ST, SAN ANTONIO, TX 78205-1918"
Christ Episcopal Church,Episcopal,"510 BELKNAP PL, SAN ANTONIO, TX 78212-3400"
Alamo Heights Baptist Church,Baptist,"6501 BROADWAY, SAN ANTONIO, TX 78209-4564"
Concordia Lutheran Church,Lutheran,"16801 HUEBNER RD, SAN ANTONIO, TX 78258-4456"
St Pauls Episcopal Church,Episcopal,"1018 E GRAYSON ST, SAN ANTONIO, TX 78208-1224"
St Philip Of Jesus Church,,"131 BANK ST, SAN ANTONIO, TX 78204-2206"
Congregation Beth-El,,"211 BELKNAP PL, SAN ANTONIO, TX 78212-5854"
Christ Lutheran Church,Lutheran,"6720 BROADWAY, SAN ANTONIO, TX 78209-3732"
St Davids Episcopal Church,Episcopal,"1300 WILTSHIRE AVE, SAN ANTONIO, TX 78209-6049"
University Presbyterian Church,Presbyterian,"300 BUSHNELL AVE, SAN ANTONIO, TX 78212-5334"
Harlandale United Methodist Church,Methodist,"6025 S FLORES, SAN ANTONIO, TX 78214-0000"
South San Antonio Baptist Church,Baptist,"2483 W SOUTHCROSS BLVD, SAN ANTONIO, TX 78211-1868"
Cjf Ministries,Christian / General,"611 BROADWAY ST, SAN ANTONIO, TX 78215-1823"
Santa Fe Episcopal Church,Episcopal,"1108 BRUNSWICK BLVD, SAN ANTONIO, TX 78211-1502"
Christ The King Church,,"2623 PEREZ ST, SAN ANTONIO, TX 78207-2443"
Methodist Healthcare Ministries Of South Texas Inc,Methodist,"4507 MEDICAL DR, SAN ANTONIO, TX 78229-4401"
Woodlawn Christian Church,Christian / General,"1744 W GRAMERCY PL, SAN ANTONIO, TX 78201-5001"
Presbyterian Church Usa,Presbyterian,"518 PIKE RD, SAN ANTONIO, TX 78209-3143"
Baptist Credit Union,Baptist,"5815 IH-10 WEST, SAN ANTONIO, TX 78201-2800"
United Presbyterian Church In The Usa,Presbyterian,"7201 BROADWAY STE 303, SAN ANTONIO, TX 78209-3774"
St Pius X Catholic Church,Catholic,"7734 ROBIN REST DR, SAN ANTONIO, TX 78209-3145"
St Lukes Lutheran Church,Lutheran,"514 SANTA MONICA, SAN ANTONIO, TX 78212-1838"
Mount Zion First Baptist Church,Baptist,"333 MARTIN LUTHER KING DR, SAN ANTONIO, TX 78203-1407"
Immaculate Heart Of Mary Church,,"617 S SANTA ROSA AVE, SAN ANTONIO, TX 78204-3112"
First Unitarian Universalist Church Of San Antonio,,"7150 W INTERSTATE 10, SAN ANTONIO, TX 78213-3465"
San Antonio Baptist Association,Baptist,"5807 IH 10 WEST, SAN ANTONIO, TX 78201-2800"
Congregation Agudas Achim,,"16550 HUEBNER RD, SAN ANTONIO, TX 78248-1695"
Watershed Church Fka The Northridge Park Baptist Church,Baptist,"9315 BROADWAY STE 101, SAN ANTONIO, TX 78217-5403"
Coker Methodist Church,Methodist,"14630 WURZBACH PKWY, SAN ANTONIO, TX 78216-5932"
Morningside Ministries,Christian / General,"137 W FRENCH PL, SAN ANTONIO, TX 78212-5804"
St Georges Episcopal Church,Episcopal,"6904 WEST AVE, SAN ANTONIO, TX 78213-1820"
Congregation Rodfei Sholom Bnai Israel,,"3003 SHOLOM DR, SAN ANTONIO, TX 78230-5400"
San Francesco Di Paola Church,,"205 PIAZZA ITALIA, SAN ANTONIO, TX 78207-3112"
Oxford United Methodist Church Of San Antonio,Methodist,"9739 HUEBNER RD, SAN ANTONIO, TX 78240-3163"
Emmanuel Church Revival Temple,,"8635 CALLAGHAN RD, SAN ANTONIO, TX 78230-4429"
Zion Lutheran Church Of Helotes,Lutheran,"9944 LESLIE RD, SAN ANTONIO, TX 78254-6401"
St Davids Episcopal School,Episcopal,"1300 WILTSHIRE AVE, SAN ANTONIO, TX 78209-6049"
Mount Olive Lutheran Church,Lutheran,"3200 W LOOP 1604 S, SAN ANTONIO, TX 78245-2778"
Brookhill Baptist Church,Baptist,"631 UTOPIA LN, SAN ANTONIO, TX 78223-3313"
Crossroads Community Church Of The Nazarene,,"5834 RAY ELLISON BLVD, SAN ANTONIO, TX 78242-2029"
Orthodox Ecumenical Church Inc,Orthodox,"41-8-VILLITA STREET BUILDING 1300, SAN ANTONIO, TX 78205-0000"
Chapel Hill United Methodist Church,Methodist,"4114 SW LOOP 410, SAN ANTONIO, TX 78227-4443"
King Of Kings Lutheran Church,Lutheran,"13888 DREAMWOOD DR, SAN ANTONIO, TX 78233-4960"
Marbach Christian Church Inc,Christian / General,"8023 MARBACH RD, SAN ANTONIO, TX 78227-1615"
Grace Orthodox Presbyterian Church,Presbyterian,"5602 UTEX BLVD, SAN ANTONIO, TX 78249-1611"
Laurel Street Church Of Christ,Church of Christ,"1747 W LAUREL, SAN ANTONIO, TX 78201-6126"
Palm Heights Baptist Church,Baptist,"1106 W MALONE AVE, SAN ANTONIO, TX 78225-1833"
Trinity Assembly Church Inc,,"5415 N LOOP 1604 E, SAN ANTONIO, TX 78247-4691"
Valley Hi Assembly Of God,,"4424 SW LOOP 410, SAN ANTONIO, TX 78227-4400"
Medical Center Church,,"7015 WURZBACH RD, SAN ANTONIO, TX 78240-3835"
West End Baptist Church San Antonio,Baptist,"6800 PARK TEN BLVD APT 184-W, SAN ANTONIO, TX 78213-4204"
Valley-Hi First Baptist Church,Baptist,"6623 SW LOOP 410, SAN ANTONIO, TX 78227-4817"
Shepherd Of The Hills Lutheran Church,Lutheran,"6914 WURZBACH RD, SAN ANTONIO, TX 78240-3832"
Travis Park United Methodist Church Foundation Inc,Methodist,"230 E TRAVIS ST, SAN ANTONIO, TX 78205-1702"
New Jewish Congregation,,"KELLISON TOWER SUITE 819, SAN ANTONIO, TX 78212-0000"
Church Of Reconciliation,,"8900 STARCREST DR, SAN ANTONIO, TX 78217-4741"
Oak Hills Church Inc,,"19595 IH-10 W, SAN ANTONIO, TX 78257-9520"
Evangelical Assemblies Inc,Protestant / Evangelical,"425 W MAYFIELD BLVD, SAN ANTONIO, TX 78211-4336"
Macarthur Park Church Of Christ,Church of Christ,"1907 NE LOOP 410, SAN ANTONIO, TX 78217-5321"
St Francis Episcopal Church,Episcopal,"4242 BLUEMEL RD, SAN ANTONIO, TX 78240-1063"
Cooperative Ministries In Higher Education Inc,Christian / General,"6720 BROADWAY, SAN ANTONIO, TX 78209-3732"
San Antonio Friends Chapel Inc,,"314 S PARK BLVD, SAN ANTONIO, TX 78204-2439"
Radiant Church,,"603 COSGROVE ST, SAN ANTONIO, TX 78210-5532"
Mexican American Catholic College,Catholic,"3115 W ASHBY PL, SAN ANTONIO, TX 78228-5100"
Alliance Bible Church Of The Christian And Missionary Alliance,Christian / General,"9310 PALOMINO PATH, SAN ANTONIO, TX 78254-6209"
St George Episcopal Day School Inc,Episcopal,"6900 WEST AVE, SAN ANTONIO, TX 78213-1820"
Unity Church Of San Antonio,,"8103 BROADWAY STE 210, SAN ANTONIO, TX 78209-1970"
Place Of Grace Fellowship,Christian / General,"2938 NACOGDOCHES RD, SAN ANTONIO, TX 78217-5019"
Our Savior Evangelical Lutheran Church Of San Antonio,Lutheran,"11503 VANCE JACKSON RD, SAN ANTONIO, TX 78230-1808"
Gateway Baptist Church,Baptist,"6623 FIVE PALMS DR, SAN ANTONIO, TX 78242-1001"
St Thomas Episcopal Church & School,Episcopal,"1416 N LOOP 1604 E, SAN ANTONIO, TX 78232-1427"
